0
cc
cc dt
cc in
cc jj
cc nn
cc nnp
cc nns
cc prp
cc rb
cc vb
cc vbd
cc vbg
cc vbn
cc vbp
cc vbz
cd
cd in
dt
dt in
dt jj
dt jjs
dt nn
dt nnp
dt nns
dt rb
dt rbs
dt vbd
dt vbg
dt vbn
dt vbz
ex
in
in dt
in in
in jj
in jjr
in nn
in nnp
in nns
in prp
in rb
in vbg
in vbn
in wp
jj
jj cc
jj dt
jj in
jj jj
jj nn
jj nnp
jj nns
jj prp
jj rb
jj to
jjr
jjr in
jjr nn
jjr nns
jjs
jjs nn
jjs nns
md
md rb
md vb
nn
nn cc
nn dt
nn in
nn jj
nn md
nn nn
nn nnp
nn nns
nn prp
nn rb
nn to
nn vbd
nn vbg
nn vbn
nn vbp
nn vbz
nn wdt
nn wp
nn wrb
nnp
nnp cc
nnp cd
nnp dt
nnp in
nnp jj
nnp md
nnp nn
nnp nnp
nnp nns
nnp prp
nnp rb
nnp to
nnp vbd
nnp vbg
nnp vbn
nnp vbp
nnp vbz
nnp wdt
nnp wp
nnp wrb
nns
nns cc
nns dt
nns in
nns jj
nns md
nns nn
nns nnp
nns nns
nns prp
nns rb
nns to
nns vbd
nns vbg
nns vbn
nns vbp
nns vbz
nns wdt
nns wp
pdt
pdt dt
prp
prp cc
prp dt
prp in
prp jj
prp jjs
prp md
prp nn
prp nnp
prp nns
prp rb
prp vb
prp vbd
prp vbp
prp vbz
rb
rb cc
rb dt
rb in
rb jj
rb nnp
rb prp
rb rb
rb to
rb vb
rb vbd
rb vbg
rb vbn
rb vbp
rb vbz
rbr
rbr jj
rbs
rbs jj
rp
rp dt
rp in
rp nnp
to
to dt
to jj
to nn
to nnp
to nns
to prp
to rb
to vb
vb
vb cc
vb dt
vb in
vb jj
vb nn
vb nnp
vb nns
vb prp
vb rb
vb rp
vb to
vb vb
vb vbg
vb vbn
vb wp
vbd
vbd dt
vbd in
vbd jj
vbd nn
vbd nnp
vbd nns
vbd prp
vbd rb
vbd rp
vbd to
vbd vbg
vbd vbn
vbg
vbg dt
vbg in
vbg jj
vbg nn
vbg nnp
vbg nns
vbg prp
vbg rb
vbg rp
vbg to
vbg vbn
vbn
vbn cc
vbn dt
vbn in
vbn jj
vbn nn
vbn nnp
vbn nns
vbn prp
vbn rb
vbn rp
vbn to
vbn vbg
vbn vbn
vbp
vbp dt
vbp in
vbp jj
vbp nn
vbp nnp
vbp nns
vbp prp
vbp rb
vbp to
vbp vbg
vbp vbn
vbz
vbz dt
vbz in
vbz jj
vbz nn
vbz nnp
vbz nns
vbz prp
vbz rb
vbz to
vbz vbg
vbz vbn
wdt
wdt md
wdt nnp
wdt vbd
wdt vbp
wdt vbz
wp
wp prp
wp vbd
wp vbp
wp vbz
wrb
wrb dt
wrb jj
wrb nnp
wrb prp
